Report of US Population from 2015
City                                     State      ID         Population of City                       Count     
Coffman Cove                             AK         1          150                                      1         
Cohoe                                    AK         1          1577                                     2         
Cold Bay                                 AK         1          46                                       3         
Coldfoot                                 AK         1          10                                       4         
College                                  AK         1          14675                                    5         
Cooper Landing                           AK         1          457                                      6         
Copper Center                            AK         1          405                                      7         
Cordova                                  AK         1          2621                                     8         
Covenant Life                            AK         1          105                                      9         
Craig                                    AK         1          1231                                     10        
Crooked Creek                            AK         1          98                                       11        
Crown Point                              AK         1          132                                      12        
Deering                                  AK         1          144                                      13        
Delta Junction                           AK         1          1045                                     14        
Deltana                                  AK         1          2311                                     15        
Diamond Ridge                            AK         1          1140                                     16        
Dillingham                               AK         1          2307                                     17        
Diomede                                  AK         1          43                                       18        
Dot Lake Village                         AK         1          54                                       20        
Dry Creek                                AK         1          84                                       21        
Eagle                                    AK         1          89                                       22        
Eagle Village                            AK         1          17                                       23        
Eek                                      AK         1          455                                      25        
Egegik                                   AK         1          68                                       26        
Eielson AFB                              AK         1          2630                                     27        
Ekwok                                    AK         1          78                                       28        
Elfin Cove                               AK         1          24                                       29        
Elim                                     AK         1          328                                      30        
Emmonak                                  AK         1          835                                      31        
Ester                                    AK         1          3008                                     32        
Evansville                               AK         1          16                                       34        
Excursion Inlet                          AK         1          40                                       35        
Fairbanks                                AK         1          32193                                    36        
False Pass                               AK         1          37                                       37        
Farmers Loop                             AK         1          4149                                     38        
Farm Loop                                AK         1          1081                                     39        
Ferry                                    AK         1          6                                        40        
Fishhook                                 AK         1          5323                                     41        
Fort Greely                              AK         1          391                                      43        
Fort Yukon                               AK         1          555                                      44        
Four Mile Road                           AK         1          10                                       45        
Fox                                      AK         1          558                                      46        
Fox River                                AK         1          649                                      47        
Fritz Creek                              AK         1          1910                                     48        
Funny River                              AK         1          776                                      49        
Gakona                                   AK         1          205                                      50        
Galena                                   AK         1          554                                      51        
Gambell                                  AK         1          718                                      52        
Game Creek                               AK         1          36                                       53        
Gateway                                  AK         1          5610                                     54        
Glacier View                             AK         1          249                                      55        
Glennallen                               AK         1          366                                      56        
Goldstream                               AK         1          3862                                     57        
Golovin                                  AK         1          132                                      58        
Goodnews Bay                             AK         1          230                                      59        
Grayling                                 AK         1          171                                      60        
Gulkana                                  AK         1          115                                      61        
Gustavus                                 AK         1          496                                      62        
Haines                                   AK         1          1955                                     63        
Halibut Cove                             AK         1          23                                       64        
Happy Valley                             AK         1          607                                      65        
Harding-Birch Lakes                      AK         1          142                                      66        
Healy                                    AK         1          1120                                     67        
Hollis                                   AK         1          124                                      70        
Holy Cross                               AK         1          214                                      71        
Homer                                    AK         1          5324                                     72        
Hoonah                                   AK         1          821                                      73        
Hooper Bay                               AK         1          1140                                     74        
Hope                                     AK         1          50                                       75        
Houston                                  AK         1          1977                                     76        
Hughes                                   AK         1          62                                       77        
Huslia                                   AK         1          420                                      78        
Hydaburg                                 AK         1          277                                      79        
Hyder                                    AK         1          13                                       80        
Igiugig                                  AK         1          49                                       81        
Iliamna                                  AK         1          78                                       82        
Juneau city and borough                  AK         1          32531                                    84        
Kachemak                                 AK         1          551                                      85        
Kake                                     AK         1          628                                      86        
Kaktovik                                 AK         1          155                                      87        
Kalifornsky                              AK         1          7965                                     88        
Kaltag                                   AK         1          192                                      89        
Karluk                                   AK         1          44                                       90        
Kasaan                                   AK         1          71                                       91        
Kasigluk                                 AK         1          599                                      92        
Kasilof                                  AK         1          388                                      93        
Kenai                                    AK         1          7463                                     94        
Kenny Lake                               AK         1          128                                      95        
Ketchikan                                AK         1          8197                                     96        
Kiana                                    AK         1          380                                      97        
King Cove                                AK         1          1074                                     98        
King Salmon                              AK         1          340                                      99        
Kipnuk                                   AK         1          686                                      100       
Kivalina                                 AK         1          576                                      101       
Klawock                                  AK         1          792                                      102       
Klukwan                                  AK         1          66                                       103       
Knik-Fairview                            AK         1          16017                                    104       
Knik River                               AK         1          765                                      105       
Kobuk                                    AK         1          159                                      106       
Kodiak                                   AK         1          6293                                     107       
Kodiak Station                           AK         1          1398                                     108       
Kokhanok                                 AK         1          145                                      109       
Koliganek                                AK         1          129                                      110       
Kongiganak                               AK         1          408                                      111       
Kotlik                                   AK         1          643                                      112       
Kotzebue                                 AK         1          3283                                     113       
Koyuk                                    AK         1          272                                      114       
Koyukuk                                  AK         1          80                                       115       
Kupreanof                                AK         1          40                                       116       
Kwethluk                                 AK         1          824                                      117       
Kwigillingok                             AK         1          331                                      118       
Lake Louise                              AK         1          45                                       119       
Lake Minchumina                          AK         1          21                                       120       
Lakes                                    AK         1          9028                                     121       
Larsen Bay                               AK         1          61                                       122       
Lazy Mountain                            AK         1          1637                                     123       
Levelock                                 AK         1          114                                      124       
Lime Village                             AK         1          7                                        125       
Livengood                                AK         1          10                                       126       
Lowell Point                             AK         1          141                                      128       
Lower Kalskag                            AK         1          317                                      129       
Lutak                                    AK         1          13                                       130       
McCarthy                                 AK         1          107                                      131       
McGrath                                  AK         1          346                                      132       
McKinley Park                            AK         1          514                                      133       
Manley Hot Springs                       AK         1          84                                       134       
Manokotak                                AK         1          691                                      135       
Marshall                                 AK         1          350                                      136       
Meadow Lakes                             AK         1          7424                                     137       
Mekoryuk                                 AK         1          174                                      138       
Mendeltna                                AK         1          22                                       139       
Mentasta Lake                            AK         1          157                                      140       
Metlakatla                               AK         1          1661                                     142       
Minto                                    AK         1          257                                      143       
Moose Creek                              AK         1          728                                      144       
Moose Pass                               AK         1          428                                      145       
Mosquito Lake                            AK         1          126                                      146       
Mountain Village                         AK         1          749                                      147       
Mud Bay                                  AK         1          167                                      148       
Naknek                                   AK         1          567                                      150       
Nanwalek                                 AK         1          238                                      151       
Napakiak                                 AK         1          352                                      152       
Napaskiak                                AK         1          408                                      153       
Naukati Bay                              AK         1          32                                       154       
Nelchina                                 AK         1          170                                      155       
Nelson Lagoon                            AK         1          42                                       156       
Nenana                                   AK         1          406                                      157       
