City,State,ID,Population of City,Count
Coffman Cove,AK,1,150,1
Cohoe,AK,1,1577,1
Cold Bay,AK,1,46,1
Coldfoot,AK,1,10,1
College,AK,1,14675,1
Cooper Landing,AK,1,457,1
Copper Center,AK,1,405,1
Cordova,AK,1,2621,1
Covenant Life,AK,1,105,1
Craig,AK,1,1231,1
Crooked Creek,AK,1,98,1
Crown Point,AK,1,132,1
Deering,AK,1,144,1
Delta Junction,AK,1,1045,1
Deltana,AK,1,2311,1
Diamond Ridge,AK,1,1140,1
Dillingham,AK,1,2307,1
Diomede,AK,1,43,1
Dot Lake,AK,1,0,1
Dot Lake Village,AK,1,54,1
Dry Creek,AK,1,84,1
Eagle,AK,1,89,1
Eagle Village,AK,1,17,1
Edna Bay,AK,1,0,1
Eek,AK,1,455,1
Egegik,AK,1,68,1
Eielson AFB,AK,1,2630,1
Ekwok,AK,1,78,1
Elfin Cove,AK,1,24,1
Elim,AK,1,328,1
Emmonak,AK,1,835,1
Ester,AK,1,3008,1
Eureka Roadhouse,AK,1,0,1
Evansville,AK,1,16,1
Excursion Inlet,AK,1,40,1
Fairbanks,AK,1,32193,1
False Pass,AK,1,37,1
Farmers Loop,AK,1,4149,1
Farm Loop,AK,1,1081,1
Ferry,AK,1,6,1
Fishhook,AK,1,5323,1
Flat,AK,1,0,1
Fort Greely,AK,1,391,1
Fort Yukon,AK,1,555,1
Four Mile Road,AK,1,10,1
Fox,AK,1,558,1
Fox River,AK,1,649,1
Fritz Creek,AK,1,1910,1
Funny River,AK,1,776,1
Gakona,AK,1,205,1
Galena,AK,1,554,1
Gambell,AK,1,718,1
Game Creek,AK,1,36,1
Gateway,AK,1,5610,1
Glacier View,AK,1,249,1
Glennallen,AK,1,366,1
Goldstream,AK,1,3862,1
Golovin,AK,1,132,1
Goodnews Bay,AK,1,230,1
Grayling,AK,1,171,1
Gulkana,AK,1,115,1
Gustavus,AK,1,496,1
Haines,AK,1,1955,1
Halibut Cove,AK,1,23,1
Happy Valley,AK,1,607,1
Harding-Birch Lakes,AK,1,142,1
Healy,AK,1,1120,1
Healy Lake,AK,1,0,1
Hobart Bay,AK,1,0,1
Hollis,AK,1,124,1
Holy Cross,AK,1,214,1
Homer,AK,1,5324,1
Hoonah,AK,1,821,1
Hooper Bay,AK,1,1140,1
Hope,AK,1,50,1
Houston,AK,1,1977,1
Hughes,AK,1,62,1
Huslia,AK,1,420,1
Hydaburg,AK,1,277,1
Hyder,AK,1,13,1
Igiugig,AK,1,49,1
Iliamna,AK,1,78,1
Ivanof Bay,AK,1,0,1
Juneau city and borough,AK,1,32531,1
Kachemak,AK,1,551,1
Kake,AK,1,628,1
Kaktovik,AK,1,155,1
Kalifornsky,AK,1,7965,1
Kaltag,AK,1,192,1
Karluk,AK,1,44,1
Kasaan,AK,1,71,1
Kasigluk,AK,1,599,1
Kasilof,AK,1,388,1
Kenai,AK,1,7463,1
Kenny Lake,AK,1,128,1
Ketchikan,AK,1,8197,1
Kiana,AK,1,380,1
King Cove,AK,1,1074,1
King Salmon,AK,1,340,1
Kipnuk,AK,1,686,1
Kivalina,AK,1,576,1
Klawock,AK,1,792,1
Klukwan,AK,1,66,1
